image,class,image_number,distance_mm
C0_001,C0,1,100
C0_002,C0,2,100
C0_003,C0,3,100
C0_004,C0,4,100
C0_005,C0,5,100
C0_006,C0,6,100
C0_007,C0,7,100
C0_008,C0,8,100
C0_009,C0,9,100
C0_010,C0,10,100
C0_011,C0,11,100
C0_012,C0,12,100
C0_013,C0,13,100
C0_014,C0,14,100
C0_015,C0,15,100
C0_016,C0,16,100
C0_017,C0,17,100
C0_018,C0,18,100
C0_019,C0,19,100
C0_020,C0,20,100
C1_001,C1,1,100
C1_002,C1,2,100
C1_003,C1,3,100
C1_004,C1,4,100
C1_005,C1,5,100
C1_006,C1,6,100
C1_007,C1,7,100
C1_008,C1,8,100
C1_009,C1,9,100
C1_010,C1,10,100
C1_011,C1,11,100
C1_012,C1,12,100
C1_013,C1,13,100
C1_014,C1,14,100
C0_001,C0,1,102.0
C0_002,C0,2,102.0
C0_003,C0,3,102.0999984741211
C0_004,C0,4,101.89999389648438
C0_005,C0,5,102.0
C0_006,C0,6,102.0
